"Code tiers","Nom de l'association","Sigle de l'association","Descriptif","Adresse 1","Adresse 2","Code postal","Ville","Telephone","Mail","Site Internet","Code catégorie","Libellé catégorie","Code sous-catégorie","Libellé sous-catégorie","Site","Adresse du site","Horaires d'ouverture","Permanences","Public visé"
"00025384","Le cyclub","","Permettre à chacun d’utiliser un cycle au quotidien, quelque soit sa situation ou ses connaissances techniques. Recyclage de cycles usagers, bourse aux vélos, vélo école.","65 cours de la République","","69100","Villeurbanne","","lecyclub@lecyclub.org","www.lecyclub.org","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Atelier de réparation","rue de l'Amitié","","Mardi, mercredi, vendredi et samedi de 14h à 19h Jeudi de 10h à 20h",""
"00025385","Evénementiel sportif et culturel lyonnais","ESCL","Développement d'événements sportifs et culturels, organisation de concerts Hip-Hop, gala pancrace, entrainement pancrace, MMA etc.","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","escl.contact@gmail.com","","0000000032","Sport","00000294","Autres activités physiques - autres sports - Divers","Salle Grain de ciel","Centre commercial du Samouraï, 2 avenue Salvador Allende, Villeurbanne","mardi 17h-21h et dimanche 19h30-21h","","tout public - à partir de 13/14 ans"
"00025405","Solatino","","Favoriser les solidarités, l'échange et le partage au travers des danses, musiques et cultures latino-américaines.","22 cours Emile Zola","","69100","Villeurbanne","","administration@lyonbaila.com","","0000000010","Danse","00000028","Danses latines","","","","","Tout public"
"00025401","Scène attitude académie","","Organisation de cours et de stages de danse : latino, danse de salon, swing et autres ; réalisation de spectacles de danse.","124 cours Emile Zola","","69100","Villeurbanne","","riquelme.david@numericable.fr","scene-attitude.com","0000000010","Danse","00000033","Danse diverse","Au siège social","","Tous les jours de 17h30 à 22h30","","Tout public"
"00025402","Country passion","","Promotion de la musique et de la danse country.","10 Montée du Chemin Neuf","","38080","Saint-Alban-de-Roche","","jocelynerajon@free.fr","country-passion-caluire.jimdo.com","0000000010","Danse","00000033","Danse diverse","Association Vhasi","140 rue de la Poudrette","Mardi de 19h à 22h","","Tout public"
"00025408","Organisation Pour la Liberté Artistique","OPLA","Organisation, création et accompagnement de projets artistiques et culturels dans l'espace public.","Centre culturel et de la vie associative","234 cours Emile Zola","69100","Villeurbanne","09 53 22 61 07","contact@collectif-opla.fr","www.collectif-opla.fr","0000000002","Culture","00000009","Média/communication","A la MIETE","92 rue des Charmettes 69006 Lyon","","Lundi, mardi, jeudi et vendredi de 9h à 18h","Tout public"
"00025409","Association Sportive Universitaire Lyonnaise Ultimate","ASUL ultim","Pratique de l'ultimate frisbee en intérieur et extérieur (sport collectif opposant 2 équipes de 5 ou 7 joueurs)","Maison des sportifs","70 rue du docteur Rollet","69100","Villeurbanne","06 65 51 73 06","contact@asul-ultimate.org","www.asul-ultimate.org/","0000000032","Sport","00000294","Autres activités physiques - autres sports - Divers","Divers lieux de pratique: voir site internet","Divers","Villeurbanne: mercredi de 20h00 à 22h00 -  le dimanche de 18h à 21h (de septembre à mars à Lyon 9è), le mardi de 18h30 à 21h (d'avril à septembre dans les parcs)","Pour plus d'informations, voir le site Internet de l'association.","A partir de 13 ans"
"00025413","HENDI Association","HENDI","Contribuer au développement équitable et durable en Tunisie.","Palais du Travail","9 Place Lazare Goujon","69100","Villeurbanne","","contact@hendiassociation.org","www.hendiassociation.org","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","",""
"00025418","Corrigraphie","","Promouvoir la langue française et son utilisation correcte auprès des francophones.","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","bureau@corrigraphie.org","","0000000004","Education / Formation","00000012","Défense/promotion/soutien de l'enseignement","","","","",""
"00025421","Echange Comores France","ECF","Participer au développement socio-économique et culturel des comoriens qui résident dans la région lyonnaise, promouvoir la culture comorienne auprès des enfants à travers la réalisation et la diffusion d'un programme de télévision en langue comorienne.","9 rue d'Alsace","","69100","Villeurbanne","07 51 43 11 67","ortclyon@gmail.com","","0000000006","Relations internationales","00000275","Cultures","","","","",""
"00025425","Est Ouest Cultures","EOC","Promotion, développement et échange de la culture et de l'artisanat des pays d'Europe centrale et orientale, formation linguistique.","3 rue Cuvier","","69800","Saint-Priest","04 78 20 70 26","v.derderian@free.fr","","0000000006","Relations internationales","00000275","Cultures","Maison Berty Albrecht","14 Place Grandclément","Mardi et jeudi après-midi","","Tout public"
"00025426","Association des Parents d'Etudiants de Lyon de l'Enseignement Public de l'académie de Lyon","PEEP SUP LYON","Etablir une liaison entre les associations de parents d'élèves du département du Rhône.","34 rue Viret","","69100","Villeurbanne","04 37 24 71 00","adpeep69@wanadoo.fr","www.peep-rhone.fr","0000000004","Education / Formation","00000012","Défense/promotion/soutien de l'enseignement","","","","","Parents d'élèves"
"00025428","L'olivier des sages","","Créer, gérer, animer et promouvoir des lieux d'accueil ou K-fés sociaux pour faciliter la cohésion sociale, la solidarité et le vivre-ensemble, lutter contre l'isolement des publics viellissants, favoriser les dynamiques intergénérationnelles.","8 rue de l'Epée","","69003","Lyon","09 84 52 31 66","olivierdessages@aol.fr","www.olivierdessages.com","0000000007","Solidarités","00000276","Action sociale","K-fé social (16 rue de Luxembourg) et Maison des Services Publics (37 rue du 8 mai 1945)","","Lundi à vendredi de 9h à 12h et de 14h à 18h","","personnes de plus de 55 ans"
"00025374","France Humanitaire","","Réunir tous moyens et compétences pour aider les populations en difficulté en France et à l’étranger et de rechercher tous les concours nationaux et internationaux permettant la réalisation de cet objet.","15 ,rue Cavenne","","69007","Lyon","04 72 73 09 25","francehumanitaire@hotmail.fr","www.francehumanitaire.com","0000000007","Solidarités","00000017","Santé","Au siège social","15 rue de cavenne 69007 Lyon","lundi, mercredi et jeudi de 13h à 18h","idem",""
"00025433","Dialogues en humanité l'association","","Valoriser et développer le potentiel de chacun, et des jeunes en particulier","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Couteline","69100","Villeurbanne","","dialoguesenhumanite.asso@gmail.com","","0000000008","Vie sociale","00000023","Actions socio-culturelles","","","","",""
"00025435","Les montures du temps","","Création de spectacles vivants.","47 rue des bienvenus","","69100","VILLEURBANNE","06 51 60 76 84","diffusionmonturesdutemps@gmail.com","www.lesmonturesdutemps.fr","0000000002","Culture","00000008","Théâtre/lettres/philosophie","Au siège social","","du lundi au jeudi de 10h00 à 17h00","","tout public"
"00025436","La bobine","","Espace d'échange, de réflexion et de création autour de l'humain et de la société par l'intermédiaire de spectacles et d'ateliers ludiques, pédagogiques et/ou thérapeutiques","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","cie.labobine@yahoo.fr","www.cielabobine.fr","0000000002","Culture","00000008","Théâtre/lettres/philosophie","","","","",""
"00025443","Community Organizing","CO","Promouvoir les modes de partages et d'organisation entre la communauté musulmane et les autres communautés.","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","contact@community-organizing.com","","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","",""
"00025445","Association des étudiants de Polynésie Française de Rhône-Alpes","AEPF RHONE","Promouvoir la culture polynésienne à travers la danse et la musique et aide à l'installation des étudiants polynésiens en métropole.","Centre culturel et de la vie associative","234 cours Emile Zola","69100","Villeurbanne","","president@aepf-rhonealpes.org","http://tahitienfrance.free.fr/associations/assoetudiants/aepf_lyon.htm","0000000006","Relations internationales","00000275","Cultures","","","","",""
"00025451","Union sportive de l'enseignement du premier degré - Villeurbanne","USEP","Promotion d'activités physiques et sportives périscolaires.","École Lazare-Goujon","52 rue Pierre-Voyant","69100","Villeurbanne","04 78 68 80 01","servicecivique.usepvilleurbanne@gmail.com","club.quomodo.com/usep-villeurbanne","0000000032","Sport","00000307","Institutions - domaine sportif","Ecoles villeurbannaises","","Se renseigner à la permanence USEP de l'école","","élèves des écoles primaires publiques de Villeurbannes"
"00025368","Compagnie Françoise Maimone","","Création et diffusion de spectacles vivants.","15 avenue Marc Sangnier","","69100","Villeurbanne","04 72 44 79 45","ciefrancoisemaimone@yahoo.fr","","0000000002","Culture","00000008","Théâtre/lettres/philosophie","","","","",""
"00025462","ACABE","","Développer la connaissance de la culture brésilienne en France par la mise en place de cours et stages de Capoeira, de danses et de percussions brésiliennes pour enfants et adultes.","3bis avenue Dutrievoz","","69100","Villeurbanne","","lucianocapoeira@hotmail.com","","0000000032","Sport","00000286","Arts martiaux","Gymnase de l'école Descartes","","lundi, mardi, jeudi : 18h30 - 21h30","",""
"00025469","Mac Guffin","","Spectacle vivant (théâtre, danse et musique) et cinéma.","117 avenue Maréchal de Saxe","","69006","Lyon","","prod@mac-guffin.net","","0000000002","Culture","00000009","Média/communication","Pôle Pixel","Centre Factory 26 cours Emile Decorps","","",""
"00025475","Etude plus Lyon","","Accompagner dans leur scolarité les enfants que leurs familles ne peuvent aider pour des raisons diverses et de favoriser leur insertion dans la société et leur ouverture culturelle.","171 avenue Roger Salengro","","69100","Villeurbanne","04 26 07 27 59","lyon@etudeplus.org","www.etudeplus.org","0000000004","Education / Formation","00000273","Accompagnement éducatif/réussite scolaire","Au siège social","","Du mardi au dimanche de 10h à 17h30","","Enfants que leurs familles ne peuvent aider dans leur accompagnement à leur scolarité"
"00025477","Association régionale des tsiganes et de leurs amis gadje","ARTAG","Accompagnement socio-professionnel et animations socio-culturelles auprès des gens du voyage du Rhône et de l'Ain.","185 rue Jean Voillot","","69100","Villeurbanne","04 78 79 60 80","contact@artag-asso.com","www.artag-asso.org","0000000007","Solidarités","00000018","Défense des droits et intérêts","Au siège social","","Lundi à vendredi de 9h à 18h","","Gens du voyage"
"00025483","Association d'aide à la promotion de l'art","AP'ART","Sensibilisation et initiation à différentes pratiques artistiques à travers des ateliers participatifs.","55 cours Gambetta","","69003","Lyon","","asso-apart@hotmail.fr","www.asso-apart.org","0000000002","Culture","00000006","Arts plastiques","","","","",""
"00025487","Tidukla","","Promotion de la culture berbère, notamment par l'enseignement du chant, de la musique et de la danse.","19 rue Pierre Baratin","","69100","Villeurbanne","04 78 85 38 58","","","0000000002","Culture","00000007","Musique/chant","Au siège social","","Samedi et dimanche de 18h à 20h30","","Berbère, algérien"
"00025493","DAHD Association","","Supporter la création, la production et la diffusion d'activités culturelles et artistiques.","12 rue Magenta","","69100","Villeurbanne","","dahd.asso@gmail.com","www.dahd.fr","0000000002","Culture","00000009","Média/communication","","","","","Tout public"
"00025492","Association citoyenne d'entraide responsable","ACTER","Proposer une aide et une écoute, permettre à tout individu de s'insérer socialement et/ou professionnellement : entraide administrative, découverte du patrimoine culturel français et étranger, ateliers de remise à niveau en français.","Maison du citoyen","67 rue Octavie","69100","Villeurbanne","","acter@hotmail.fr","","0000000007","Solidarités","00000276","Action sociale","Au siège social","","Vendredi de 14h à 17h","","Tout public"
"00025494","Chorale les Inchoeurigibles","","Chorale de 60 amateurs au large répertoire qui a pour objet la formation de choristes par le biais de répétitions, concerts, rencontres et voyages.","Chez Thérèse BASTIDE","6 impasse Million","69100","Villeurbanne","","roy.muriel@sfr.fr","","0000000002","Culture","00000007","Musique/chant","Ecole maternelle Lazare Goujon","","Mardi de 20h15 à 22h00 (sauf vacances scolaires)","","Adultes"
"00025366","Association médiation Lyon","AMELY","Mise en place de structures d'accès au droit et/ou de médiation.","45 rue Smith","","69002","Lyon","04 78 37 90 71","amely.mediation@free.fr","www.amely.org","0000000007","Solidarités","00000018","Défense des droits et intérêts","Espace santé (52 rue Racine) et MSP Tonkin (4 allée Henri Georges Clouzot)","","Mardi de 9h à 12h30 et jeudi de 13 h30 à 16h30","","Tout public"
"00025367","Association Sportive Villeurbanne Cécifoot","ASV","Promotion du Cécifoot, sport adapté aux déficients visuels. Sensibiliser à la déficience visuelle et au sport adapté, participation tournoi de futsal du district du Rhône (FFF)","70 rue du docteur Rollet","","69100","Villeurbanne","","asv.cecifoot@gmail.com","http://asv-cecifoot.e-monsite.com","0000000032","Sport","00000305","Handisport - sport adapté","Gymnase du Lycée Brossolette - gymnase des Brosses","161 cours Emile Zola - Villeurbanne et 214 rue de la Poudrette - Villeurbanne","Le mardi de 19h30 à 21h00 (Brossolette) et le vendredi de 20h00 à 22h00 (Brosses)","","Déficients visuels de plus de 16 ans"
"00025403","Maison de l'Initiative, de l'Engagement, du Troc et de l'Echange (MIETE)","MIETE","Promotion de la démocratie culturelle, développement de l'accessibilité aux loisirs et à la culture pour tous les publics, mutualisation des moyens entre les associations adhérentes.","92 rue des Charmettes","","69006","Lyon","09 53 22 61 07","contact@lamiete.com","lamiete.com","0000000008","Vie sociale","00000023","Actions socio-culturelles","Au siège social","","lundi, mardi, jeudi et vendredi de 9h00 à 12h30 et de 13h30 à 19h00","","porteur de projet, association, public de proximité"
"00025497","Association Haut-Nkam Nshu shu","","Solidarité entre les membres, organisation d'événements festifs, soutien à la population camerounaise.","c/o M. Monkam","176 rue Jean Voillot","69100","Villeurbanne","","monkamk@yahoo.fr","","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","Centre Culturel Oecuménique Jean-Pierre Lachaize","39 Rue Georges Courteline","3e samedi du mois","",""
"00025498","Compagnie Harry Albert","","Lieu de création artistique et de répétitions dédié aux professionnels du spectacle vivant.","9 rue Tranquille","","69100","Villeurbanne","04 78 54 77 40","compagnieharryalbert@gmail.com","cieharryalbert.fr","0000000010","Danse","00000031","Danse contemporaine","Au siège social","","","Du lundi au vendredi de 9h00 à 12h00 et de 14h00 à 20h00","Artistes (danseurs, musiciens, comédiens, intermittents du spectacle)"
"00025499","D'une rive à l'autre à Lyon","","Faire connaître la culture algérienne en favorisant les échanges entre la France et l'Algérie par le biais de manifestations inter-culturelles.","289 rue Léon Blum","","69100","Villeurbanne","06 50 14 11 05","dunerivealautre.lyon@gmail.com","","0000000006","Relations internationales","00000275","Cultures","","","","",""
"00025501","Groupe de Villeurbanne la libre pensée","LP","Défense de la laïcité et promotion de la loi de 1905, loi de séparation des églises et de l'Etat.","7 rue Major Martin","","69001","Lyon","04 78 68 52 88","librepensee69@orange.fr","librepenseerhone.org","0000000008","Vie sociale","00000023","Actions socio-culturelles","Au siège départemental","","","1er mercredi et 3e samedi du mois, de 14h à 16h",""
"00025503","Solidarités nouvelles face au chômage","SNC","Lutte contre le chômage et les mécanismes d'exclusion sociale par la création et le développement d'activités de solidarité.","28 rue Etienne Marcel","","75002","Paris","01 42 47 13 40","snc.villeurbanne@snc.asso.fr","www.snc.asso.fr","0000000003","Economie / Emploi","00000270","Accès ou maintien dans l'emploi/insertion","Centre social et familial de la Ferrandière (9 rue Louis Braille) et Passage 33 (33 rue du 8 mai 1945)","","","","Chômeurs"
"00025504","AMAP A la bonne franckette","","Recréer le lien social entre citadins et agriculteurs, promouvoir une agriculture durable socialement équitable et écologiquement saine à travers une information citoyenne et le soutien à des agriculteurs de proximité.","Centre social des Buers","17 rue Pierre Joseph Proudhon","69100","Villeurbanne","04 78 84 28 33","secretcsbuers@wanadoo.fr","alabonnefranckette.over-blog.com","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Maison du citoyen","Rue Octavie 69100 Villeurbanne","Lundi de 18h00 à 19h30","","Tout public"
"00025506","Club des Jacobins de Villeurbanne","","Espace de débat et de réflexion politique et philosophique ; il s'inspire des clubs politiques et des idées de la révolution française pour dialoguer et débattre des conditions passés, présentes et futures de la république française.","420 cours Emile Zola","","69100","Villeurbanne","","jacobins.villeurbanne@gmail.com","jacobinsvilleurbanne.free.fr","0000000008","Vie sociale","00000023","Actions socio-culturelles","Maison Berty Albrecht","14 place Grandclément 69100 Villeurbanne","2e mardi du mois de 18h30 à 22h00","",""
"00025509","Ethic'dom","","Association de services à la personne spécialisée dans l’aide à domicile créée par le groupe d’économie sociale et solidaire Unis Vers l’Emploi.","17 rue Jean Bourgey","","69100","Villeurbanne","04 72 04 04 20","solidarite.services@unis-vers-emploi.com","ethicdom.fr","0000000003","Economie / Emploi","00000270","Accès ou maintien dans l'emploi/insertion","","","","",""
"00025516","Le parisolidaire Lyon","","Cohabitions intergénérationnelles : mise en relation de personnes âgées ou personnes handicapées ayant une chambre disponible avec des jeunes en recherche de logement.","15 C rue Ernest Fabregue","","69009","Lyon","04 78 83 54 42","association.leparisolidairelyon@neuf.fr","www.leparisolidairelyon.org","0000000007","Solidarités","00000276","Action sociale","","","","","Personnes âgées et étudiants"
"00025515","Urgence social rue","USR","Aller à la rencontre des personnes en situation de grande précarité, pour recréer ou maintenir le lien social (avec éventuellement, la distribution d'aides diverses) et les orienter vers les associations et structures dédiées.","72 avenue Roger Salengro","","69100","Villeurbanne","","urgencesocialrue@gmail.com","urgencesocialrue.org","0000000007","Solidarités","00000276","Action sociale","72 rue Salengro","","Mardi de 20h à 2h et vendredi de 20h à 4h","","Toute personne sans-abri, isolée ou en famille"
"00025353","Handica réussir","","Contribuer à une meilleure réussite scolaire et sociale des jeunes à besoins éducatifs particuliers : en situation de handicap ou de maladie, âgés de 10 à 25 ans.","Centre APAJH","14 rue Longchamp","69100","Villeurbanne","04 37 44 04 99","contact@handicareussir.com","www.handicareussir.com","0000000007","Solidarités","00000021","Personnes en situation de handicap","Au siège social","","","Lundi à vendredi de 9h à 19h Samedi de 10h à 12h","Jeunes de 10 à 25 ans en situation de handicap"
"00025389","Entraide scolaire amicale","ESA","Accompagner bénévolement, dans leur scolarité, des enfants que leurs parents ne peuvent ni aider, ni faire aider, faute de connaissances nécessaires et de moyens financiers, et favoriser leur insertion dans la société et leur ouverture culturelle.","100 route de Vienne","","69008","Lyon","08 00 67 24 00","jeanlesbordes@gmail.com","www.entraidescolaireamicale.org","0000000004","Education / Formation","00000273","Accompagnement éducatif/réussite scolaire","","","","","Enfants villeurbannais ayant des difficultés scolaires, bénévoles souhaitant accompagner ces enfants"
"00025415","Compagnie Anda Jaleo","","Développement de la culture à travers des spectacles vivants : théâtre, danse, musique, en mettant en oeuvre des projets artistiques adaptés au plus large public.","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Courteline","69100","Villeurbanne","04 69 70 44 88","cie.andajaleo@gmail.com","www.andajaleo.org","0000000002","Culture","00000008","Théâtre/lettres/philosophie","","","","","Tout public"
"00025471","Nième compagnie","","Spectacle vivant","87 rue du 8 mai 1945","","69100","Villeurbanne","","lila.boudiaf@niemecompagnie.fr","www.niemecompagnie.fr","0000000002","Culture","00000008","Théâtre/lettres/philosophie","Théâtre Astrée","","","",""
"00025424","Kat'chaça","","Création et diffusion du spectacle vivant, animation d'actions culturelles pluri-disciplinaires.","1 rue de Nuits","","69004","Lyon","09 52 08 96 55","contact@katchaca.fr","www.katchaca.fr","0000000010","Danse","00000031","Danse contemporaine","","","","",""
"00025472","Improcité","","Apporter du plaisir au grand public à travers le théâtre d'improvisation sous forme de spectacle ou d'atelier.","90 cours Tolstoï","","69100","Villeurbanne","06 50 71 05 59","contact@improcite.com","www.improcite.com","0000000002","Culture","00000008","Théâtre/lettres/philosophie","Au siège social","","Jeudi de 20h00 à 22h30","","Tout public"
"00025485","Les choeurs de Villeurbanne - Vox urbana","","Pratique du chant choral.","Centre culturel et de la vie associative","234 cours EMile Zola","69100","Villeurbanne","04 78 89 43 89","francoise.francillon@orange.fr","www.choeursdevilleurbanne.fr","0000000002","Culture","00000007","Musique/chant","Centre social de Cusset","87 rue Pierre Voyant","Lundi de 20h à 22h","","Tout public"
"00025508","Bel air sans frontière","","Favoriser le départ en vacances des jeunes en difficultés financières en organisant des animations et/ou événements sur le quartier et développer les échanges interculturels.","Maison de quartier des Brosses","41 rue Nicolas Garnier","69100","Villeurbanne","","","","0000000008","Vie sociale","00000023","Actions socio-culturelles","Au siège social","","","","Jeunes en difficultés"
"00025512","Association des Familles et Amis Maison Camille Claudel","AFAMCC","Animations au sein de l'EHPAD Camille Claudel pour les résidents et leur famille.","12 rue Charles Montaland","","69100","Villeurbanne","","","","0000000005","Loisirs","00000013","Animations","","","","","Résidents de l'EHPAD Camille Claudel"
"00025520","Association Diofior Lyon trait d’union","","Association franco-sénégalaise venant en aide aux familles démunies de la région de Fatick au Sénégal : aide matérielle, alimentaire, sanitaire.","2 rue Prisca","","69100","Villeurbanne","","maried.drouhard@hotmail.fr","www.diofiorlyon-traitdunion.fr","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","","Tout public"
"00025526","Almajlis Anwar Musique","","Développer et faire connaitre l'art de la culture arabe à travers des rencontres multiculturelles, des voyages, des colloques et des conférences. Production et organisation d'activités artistiques.","323 cours Emile Zola","","69100","Villeurbanne","06 67 07 36 17","asso.almajlis@gmail.com","","0000000006","Relations internationales","00000275","Cultures","","","","",""
"00025528","Alwane","","Concevoir, développer et organiser toute action permettant d'aider les enfants de Syrie, et ceux réfugiés dans des pays de la région, victimes de la violence.","30 avenue Auguste Blanqui","","69100","Villeurbanne","09 81 19 23 68","alwanelyon@gmail.com","www.alwane.org","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","",""
"00015471","Internat Plus","","Rassembler les personnes ayant fréquenté l'internat de la ville de Villeurbanne situé à Poncin entre 1928 et 2002.","Mairie de Poncin","Place Xavier Bichat","01450","Poncin","04 74 37 38 49","internat.plus@orange.fr","","0000000002","Culture","00000005","Patrimoine/cultures traditionnelles","Maison Berty Albrecht","14 place Grandclément 69100 Villeurbanne","3e mardi du mois et 1er vendredi du mois de 14h00 à 18h00","",""
"00015477","Sing Song Energie","SSE","Chorale, enseignement de l'art vocal, préparation de spectacles, production de concerts.","110 rue du 4 août","","69100","Villeurbanne","04 78 35 37 14","singsongenergie.communication@gmail.com","www.singsongenergie.fr","0000000002","Culture","00000007","Musique/chant","CMCAS","33 rue Petrequin 69006 Lyon","lundi de 19 h à 21 h","","Tout public"
"00015478","Les paniers du DD","","Soutenir et promouvoir une agriculture paysanne, durable, écologique et un commerce solidaire et équitable.","Palais du travail","9 place Lazare Goujon","69100","Villeurbanne","","lespaniersdudd@hotmail.fr","lespaniersdudd.blogspot.fr","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Ecole Anatole France","130 rue Anatole France","Mardi de 17h30 à 18h30","",""
"00015482","Le jardin d'Eden","","Promotion de l'écologie, des alternatives et de l'économie solidaire.","8 rue Jubin","","69100","Villeurbanne","04 78 68 09 44","info@jardin-eden.org","www.jardin-eden.org","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Au siège social","","Mardi de 14h à 19h Mercredi à vendredi de 10h30 à 12h30 et de 14h à 19h  Samedi de 11h à 19h","",""
"00015488","Club de l'amitié des Brosses","","Activités de loisirs : peinture à l'huile, au pastel, à l'aquarelle, sur porcelaine, jeux, sorties, voyages.","Maison de quartier des Brosses","41 rue Nicolas Garnier","69100","Villeurbanne","04 72 33 30 89","danielle.pin@wanadoo.fr","","0000000005","Loisirs","00000013","Animations","Au siège social","","","Lundi de 14h à 17h, mardi et vendredi de 14h à 17h30","Tout public"
"00015496","Energym' danse","ED","Pratique de la danse et assouplissements.","110 rue du 4 août","","69100","Villeurbanne","07 81 08 76 60","danseieg@live.fr","www.everyoneweb.fr/danseieg","0000000010","Danse","00000033","Danse diverse","Au siège social","","","Lundi à jeudi de 17h à 21h","Adultes"
"00015505","L'œil du cyclope","","Création et diffusion de spectacles de marionnettes.","Centre culturel œcuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","cieoeilducyclope@yahoo.fr","www.compagnie-oeilducyclope.fr","0000000002","Culture","00000008","Théâtre/lettres/philosophie","","","","","Enfants"
